tag,count
pop,435
female vocalists,213
american,169
dance,128
singer-songwriter,124
indie,121
electronic,100
indie pop,100
pop rock,99
rnb,91
electropop,79
alternative,77
rock,61
male vocalists,60
british,54
my top songs,51
Hip-Hop,51
USA,47
soul,43
acoustic,43
islam jihad,42
jihad islam,41
hip hop,35
taliban approved,35
House,34
country,34
r&b,33
teen pop,33
rap,32
synthpop,31
taylor swift,30
EDM,29
the mind of the believer,29
country pop,28
dream pop,28
jihad,26
snake,24
dance-pop,23
female vocalist,23
youth with a mission,22
christian religion,21
folk,21
love at first listen,21
electro house,20
repulsed by love,20
Disney,19
davidrea,18
Rea,18
david,18
electronica,16
Canadian,16
the religious impulse,16
indie rock,15
trip-hop,14
Ballad,14
Love,14
bowling for bibles,14
Disco,13
sexy,13
pop punk,13
christian taliban,13
alternative rnb,13
UK,13
hate group,13
sadcore,13
alternative rock,12
trap,12
2010s,12
dance pop,12
Rihanna,12
muhammad had a penis,11
art pop,11
vineyard,11
dutch,11
christian jihad,11
reggae,11
vagina haters,11
alt-pop,11
Progressive House,10
fahtah,10
00,10
0,10
jesus had a penis,10
Soundtrack,10
swedish,10
one direction,10
biggie had a penis,9
Selena Gomez,9
norwegian,9
All,9
australian,9
soft rock,9
piano,9
sad,9
katy perry,9
ambient pop,9
k-pop,9
X factor,8
Ariana Grande,8
Sweden,8
guilty pleasure,8
Kazakhstan,8
misc,8
jazz,8
2021,7
latin,7
french,7
dubstep,7
nu-disco,7
Bruno Mars,7
bts,7
croatian,7
religiosity,7
canada,7
future bass,7
better than selena gomez,7
2014,7
2020s,7
boyband,6
hate crimes,6
contemporary rnb,6
pop rap,6
Kpop,6
Norway,6
downtempo,6
female,6
electro,6
nickelodeon,6
2015,6
90s,6
big room,6
comedy,6
german,6
nord-sud muziki-TV,5
funny,5
woya,5
Ouest Africa,5
cote d ivoire,5
Super groupe,5
Abidjan,5
United States,5
divo,5
fanfare,5
ambiance,5
HYBE Labels,5
queer,5
cute,5
netherlands,5
folktronica,5
techno,5
8-bit,5
Demi Lovato,5
us,5
chiptune,5
dungeon-synth,5
Ava Max,5
dj,5
fundagelical,5
kazakh,5
kazakh pop,5
Karakalpak,5
qaraqalpaq,5
Karakalpakstan,5
turkic,5
karakalpak pop,5
girl group,5
dungeon synth,5
Miran,5
C,5
folk pop,5
2016,5
bit music,5
math synth,5
Fox Television,5
video game music,5
chiptune synth,5
Malachi,5
abstract synth,5
nephi,5
french dungeon synth,5
instrumental,4
nicki minaj,4
Southern Hip Hop,4
Gangsta Rap,4
Eurovision,4
club,4
pinoy,4
Scottish,4
justin bieber,4
festival progressive house,4
roller,4
Adele,4
latin pop,4
tropical house,4
ROFL,4
bedroom pop,4
2019,4
1d,4
Girl Groups,4
teen suicide and self-loathing,4
word of faith,4
Lana Del Rey,4
rotfl,4
Miley Cyrus,4
foxx,4
foxxx,4
2018,4
Eurovision 2019,4
huggy,4
humor-com,4
stand-up,4
lol,4
italian,4
technoid,4
darkstep,4
tamburasi,4
WSUM 91.7 FM Madison,4
moja muzika,4
radio banovina,4
easy listening,4
gay pop,4
disney channel,4
C-pop,4
slow jams,4
neurofunk,4
jump up,4
Drum and bass,4
Korean,4
techstep,4
skullstep,4
darkside,4
rutracker,4
American Idol,4
dnb,4
Nahum,3
New Zealand,3
Eminem,3
the grateful dead,3
alternative pop,3
smile for the guillotine,3
trance,3
smile,3
bangtan,3
muhammad approves,3
singer songwriter,3
Wellington,3
Lady Gaga,3
soul folk,3
The,3
2 Timothy,3
tamburica,3
best of 2014,3
talibangelical,3
hrvatska,3
japanese,3
bangtantv,3
2020,3
deep house,3
1 Timothy,3
fox news,3
Big Hit Music,3
black metal,3
BTS Pop,3
Hube labels,3
male voice,3
RM,3
new wave,3
brazilian reggae,3
reggae nacional,3
Angatu,3
Maybe Tonight,3
Pedro Angi,3
Pablo See A Rasta,3
guillotine,3
do you remember,3
Billie Eilish,3
Discoveries,3
Kim Pommell,3
Roots Reggae Brasil,3
2017,3
chillout,3
cover,3
musical,3
BTSMV,3
fun,3
shawn mendes,3
no talent,3
cultivo,3
nu folk,3
MV,3
for,3
enhypen,3
suga,3
panda,3
4,3
power pop,3
txt,3
Moroni,3
soty,3
Blue-Eyed Soul,3
trip hop,3
Hailee Steinfeld,3
teen,3
alt z,3
bisexual,3
The Weeknd,3
70s,3
prog-rnb,3
overrated,3
chinese,3
english,3
P!nk,3
Grime,3
peter,3
madison beer,3
California,3
funk,3
party,3
Passion of Discovery,3
China,3
yearning,3
urban,3
psychedelic,3
Lo-Fi,3
chill,3
taiwanese,2
mandopop,2
uk funky,2
cult,2
actors,2
cpop,2
taiwan,2
punk,2
experimental,2
Britney Spears,2
2023,2
psytrance,2
zara larsson,2
summer,2
5 Stars,2
best of 2015,2
eastern orthodox,2
Orthodox,2
David Guetta,2
preacher,2
doo-wop,2
irish,2
slavonske lole,2
Progressive rock,2
black eyed peas,2
atlanta,2
female rap,2
hardcore,2
Kelly Clarkson,2
hardcore punk,2
romantic lyrics,2
freestyle,2
australia,2
the vamps,2
christian,2
homophobia,2
Electroclash,2
hyperpop,2
bubblegum bass,2
pc music,2
turkish hymn,2
mevlid-i,2
hymn,2
lesbian,2
homophobic,2
2013,2
ccm,2
Justin Timberlake,2
epic,2
nessa barrett,2
alternative dance,2
Lenka,2
actress,2
Avicii,2
Nu Metal,2
Linkin Park,2
kerim,2
complextro,2
baltimore club,2
Filipino,2
atlanta bass,2
abba,2
jimin,2
ive,2
kpop girl group,2
k-pop girl group,2
chamber folk,2
spanish,2
french house,2
chillwave,2
los angeles,2
lounge,2
Gothic,2
ambient house,2
cuba,2
cuban,2
Fifth Harmony,2
racist,2
microhouse,2
future garage,2
deek,2
Trap Queen,2
Planet Kolob,2
Khalid,2
Italy,2
chamber pop,2
gospel,2
fox tv,2
M2M,2
ambient,2
girlband,2
song of solomon,2
ecclesiastes,2
Corinthians,2
podcast,2
texas,2
breakup,2
Playful,2
vaginal recipe,2
european american,2
upcoming album 2022,2
bully,2
singer-songwriters,2
BTS MV,2
jessie j,2
the ladies of cnn,2
anti-gay,2
oldies,2
the ladies of fox news,2
BTS CONTENT,2
choreography,2
big hit entertainment,2
england,2
Neo-Soul,2
european americans,2
indie folk,2
Reggaeton,2
slowcore,2
Eurovision Song Contest,2
progressive trance,2
new york,2
upcoming album 2024,2
having under 100 listeners makes you quite obscure but does not mean you are not talented,2
eurovision song contest 2019,2
4-25,2
name variation,2
ESC,2
vocal trance,2
Tiesto,2
beautiful,2
powerpop,2
slim shady,2
detroit,2
BTS RUN,2
2012,2
male vocalist,2
deezer,2
boy band,2
synth-pop,2
pink,2
haggai,2
bop,2
Classical,2
fully streamable albums,1
guitarist,1
emm gryner,1
Glen Hansard,1
indonesian,1
EPIC WIN,1
female guitar player,1
Dan Bern,1
ron sexsmith,1
britpop,1
underrated,1
steve aoki,1
classic,1
classical crossover,1
stupid flanders,1
Desperate Housewives,1
The Simpsons,1
buckfast,1
lobsters,1
Hash,1
euphonium,1
brass,1
Brega,1
arrocha,1
game show,1
best of 2013,1
america,1
sertanejo,1
puerto rico,1
guitar virtuoso,1
bolero,1
techno against communism,1
conservative techno,1
wartrance,1
Reggaeton mexicano,1
cumbiaton,1
mexico,1
Merge,1
national public radio,1
okkervil river,1
minimal,1
michael penn,1
arizona,1
scouse,1
donk,1
mayday parad,1
ATL,1
perfec,1
Like,1
az,1
the simpsons s34,1
post-punk,1
the maine,1
Progressive metal,1
a cappella groups,1
a cappella,1
argentina,1
tango,1
the summer set,1
Summer Set,1
bounce,1
scott walker,1
Cherry Ghost,1
instrumental rock,1
lil yachty,1
tallahassee,1
seen live three times,1
stephen harrison,1
Orange Juice,1
Lloyd Cole And The Commotions,1
Carly Rae Jepsen,1
the walker brothers,1
lesser known yet streamable artists,1
Check it out,1
mike will made-it,1
scottsdale,1
richard hawley,1
the bue nile,1
Pop Court with manda m,1
Post-punk revival,1
tenor,1
horses,1
tango argentino,1
olympia wa,1
portland OR,1
gossip,1
argentinian,1
30s,1
heroin,1
HORSE,1
Garage Rock,1
indie folk-rock,1
alternative folk rock,1
Buenos Aires,1
20s,1
bon iver,1
opera,1
andrea bocelli,1
chanson,1
Best voices,1
orchestral,1
orchestra,1
Hrvatsko,1
tambure,1
Croatia,1
exquisite noise records,1
Bhangra,1
lindau,1
narodni radio,1
germany,1
Emo YN music,1
Alen Slavica,1
desert rock,1
Psyche,1
mind music,1
pacific northwest,1
McKnight,1
betty white colleagues and friends,1
Rudy Giuliani,1
disney Aladdin the series,1
december,1
the bob,1
sermons,1
june,1
thursday,1
august,1
September,1
march,1
november,1
Wednesday,1
www,1
July,1
january,1
psychobilly,1
gothabilly,1
Horror Surf,1
Surf,1
deathrock,1
surf rock,1
alternative media,1
the internet,1
The Simpsons S36,1
art rock,1
trap rap,1
Avant-Prog,1
Avant-Garde,1
RIO,1
Rock In Opposition,1
rio-oriented,1
chamber rock,1
prog,1
avant rock,1
total spambo,1
rock-crossover grunge alternative,1
rock-alternative,1
lgbtq hip hop,1
religious,1
religion,1
internet,1
contemporary christian,1
preachers,1
SURF GOTH,1
Gothic Rock,1
horrorsurf,1
GANGSTARR,1
sinthpop,1
techno sound,1
super space,1
moscow,1
2000's,1
deutsch,1
mobb deep,1
Necro,1
Cypress Hill,1
gothic surf,1
Taktloss,1
Ill Bill,1
regensburg,1
frontalangriff,1
Dizzee Rascal,1
Hi,1
slow,1
shoegaze,1
Super Sound,1
new sound,1
Electric Music,1
Besto,1
lover,1
fave fave fave,1
why on earth is this just a bonus track,1
Dynamite,1
hybe,1
BANGTAN BOMBS,1
BTS BANGTAN BOMBS,1
hypertechno,1
Singer/Songwriter,1
Jung Kook,1
arabic,1
mad muhammad,1
confucius had a penis,1
does allah have a penis,1
lincoln had a penis,1
SNSD,1
hi-fi stereo,1
carti,1
yvl,1
ATL Rap,1
Andrew,1
finely tailored,1
sometimes auditory,1
Flatulence,1
this man has long shiny flapjack tits,1
the epitome of disgrace,1
damick,1
total dulukk and jpoptrasher and lenushiromiya spam the fuck out of everything,1
dulukk and jpoptrasher and lenushiromiya spam the fuck out of everything,1
the original juggalo,1
fb,1
mitch mcconnell,1
News,1
japan,1
Marina Sena,1
Baltimore,1
kids,1
Taraz Rap,1
Zhambyl,1
philippines,1
johannes kaefig,1
rockin orangensaft,1
bad tatse,1
neutral milk hotel,1
The Unicorns,1
invade,1
MST3K,1
le gloom,1
60's,1
ufo,1
stoner pop,1
audio,1
The Vaselines,1
juicy orange,1
true gay black metal,1
glueck,1
way of life,1
zufaellig,1
johann kaefig,1
kaefig,1
Rassim,1
KTL,1
ass,1
Yo Gotti,1
oj the juiceman,1
Doughboyz Cashout,1
Slim Dunkin,1
kreayshawn,1
Slim Thugg,1
kid ink,1
boss ruff,1
Waka Flocka,1
LIL B,1
Paradox No Limit,1
21 savage,1
Metro Boomin,1
UK Pop,1
bad,1
AI,1
weirdo,1
rage,1
opium,1
rich ken,1
broken equipment,1
fatt kidd,1
filnobep,1
taraz,1
music while pederasting,1
mambetcore,1
essaehdagiselledapandlr,1
Acoustic Rock,1
darkpsy,1
dark psytrance,1
mtce new likes,1
TryAgain,1
mash-up,1
silly,1
shitfuckingpoopcore,1
mashup,1
cartoon,1
Twinn Fatt kidd Bep Filno bep New Orleans,1
twinn,1
like huah,1
quiz,1
Traditional Gospel,1
radio show,1
tlc,1
child prodigy,1
under 200 listeners,1
ghost,1
worship,1
praise,1
Hillsong,1
italian hardcore,1
Italian punk,1
Italian Hardcore Punk,1
italian hc,1
Old school Hardcore,1
psychedelic pop,1
Radio,1
glee,1
Glee Cast,1
teenager,1
chord overstreet,1
best friends,1
John Denver,1
florida,1
diva,1
diamonds,1
legend,1
2022,1
party in the usa,1
pop soul,1
brill building,1
Madison maior viva,1
dana winner,1
Nederlandstalig,1
belgian,1
Schlager,1
Belgium,1
unemerged divas,1
Brostep,1
heavy metal,1
NWOBHM,1
melodic dubstep,1
thrash metal,1
scandinavian,1
africa,1
ethnic,1
blues,1
955 WKQI,1
chicago,1
Chill House,1
west coast,1
young money,1
cali,1
happiness,1
Daft Punk,1
arcane,1
Juice WRLD,1
ellie goulding,1
nu jazz,1
hardstyle,1
nu-jazz,1
polish hip-hop,1
po,1
brilliant,1
rock and roll over,1
country rap,1
indietronica,1
Vibe,1
Experimental Rock,1
tyga,1
3,1
emo rap,1
DC,1
The Kid Laroi,1
Alicia Keys,1
2009,1
east coast rap,1
jay-z,1
East Coast,1
Brooklyn,1
Estelle,1
Power metal,1
neo-classical metal,1
neoclassical metal,1
NeoClassical Power Metal,1
great song,1
80s,1
Europop,1
exo,1
exo-k,1
exo-m,1
sm entertainment,1
etheral,1
Chris Bell,1
lana del rey -ish,1
thank you olivia,1
Pitbull,1
juvenile,1
g-eazy,1
New Orleans,1
d,1
x,1
i,1
Pop Music,1
swiss,1
fresh,1
Singer-songwriter pop,1
united states of america,1
The Cool Kids,1
Lil Wayne,1
Shakira,1
Colombia,1
euro-house,1
eurodance,1
german dance,1
Crunk,1
Ne-Yo,1
max martin,1
best of 2022,1
emotional rap,1
genre: hip-hop,1
Hip-Hip,1
dub,1
Need to Rate,1
British Girls,1
spotify,1
fab,1
nate ruess,1
composer,1
score,1
game of thrones,1
ost,1
composers,1
Pop RnB,1
gen z singer-songwriter,1
haters gonna hate,1
heartland rock,1
Chupa essa Katy perry,1
DAT,1
idols,1
darin,1
remix,1
denpa,1
kitsch,1
twee,1
Versus Verses,1
mexican,1
s,1
Brazilian bass,1
brazil,1
brazilian,1
zayn,1
talented,1
amazing voice,1
Marshmello,1
MNEK,1
gospel choir,1
hino,1
covers,1
<3,1
relax,1
twee pop,1
hardcore hip hop,1
Dirty South,1
2011,1
lauv,1
prism,1
melancholy,1
songs to kill yourself to,1
piano rock,1
OneRepublic,1
hairy chest,1
to all the boys ive loved before,1
amazing,1
B major,1
larry stylinson,1
linedance 2017,1
Ed Sheeran,1
easy-listening,1
Thank U,1
pete fracassado,1
Sweet Songs,1
guitar,1
sweet,1
adult contemporary,1
lost and found,1
female gospel singer,1
The Script,1
new jack swing,1
Norge,1
skam,1
astrid s,1
nordic,1
Sabrina Carpenter,1
vocal,1
pop perfection,1
industrial pop,1
spoken word,1
spamfm,1
god damnit shit scrobbled fuck you and your tracks,1
poetry,1
walk,1
the real slim shady,1
post-music,1
god of lastfm,1
this is music,1
female gospel writer composer and singer,1
female gospel artist,1
metalcore,1
new gospel female artist,1
would have been better without the rapping,1
the rapping is so good,1
Asian,1
MONDO POP,1
pe vermelho,1
experimental brazil,1
hard rock,1
Tribute,1
bon jovi,1
80's,1
Poison,1
hairbands,1
polish,1
poland,1
disco polo,1
polskie,1
gospel female vocalist,1
new female artist,1
hot female gospel rapper,1
thought-provoking,1
Musica Cristiana,1
PEREGRINOS Y EXTRANJEROS,1
cararuiz library,1
telekinesis,1
emo plugg,1
pluggnb,1
Hammersmith and Fulham,1
UK hip hop,1
UK rap,1
UK Drill,1
drill,1
Songs i like to play whilst walking down the street at night music,1
band,1
reba mcentire,1
Carrie Underwood,1
Blake Shelton,1
south bend,1
H Tom Golana,1
Johnathan R Albert,1
civil service,1
npr,1
United Kingdom,1
we were promised jetpacks,1
the blank tapes,1
nickel eye,1
Crystal Castles,1
quartet,1
Contemporary Gospel Tag,1
the williams brothers,1
Valbuena,1
bass house,1
influenced from oldies,1
kudu,1
13-year old,1
all the people in the world,1
the tallest man on earth,1
house beats,1
William,1
TECHNO BEATS,1
craft spells,1
the wave picture,1
talking to turtles,1
the sunflower spectacle,1
jake bugg,1
2-step,1
post-hardcore,1
future beats,1
sour,1
Heart attack,1
demi,1
5 Seconds of Summer,1
5SOS,1
13 reasons why,1
danish,1
Michael Learns To Rock,1
muLtr,1
2015 single,1
metal,1
rapcore,1
alternative metal,1
Nu-metal,1
Usher,1
swing,1
la la land,1
under 2000 listeners,1
hollywood,1
cinematic,1
spain,1
best of 2016,1
booba,1
great vocals,1
fondling music,1
kings and queens,1
to aqui por causa da tinashe,1
classic rock,1
long beach,1
euphoric,1
love at firsten listen,1
film,1
movie,1
clouds,1
Mellow,1
segura essa magia negra,1
am1,1
linedance 2019,1
fav888,1
powerful,1
breaking dawn,1
christina perri,1
Tove Lo,1
producer,1
bossbeat,1
anthem worship,1
african,1
halsey,1
Electro-Hop,1
electro hop,1
Hip Hop/Rap,1
Jessica,1
Wicked,1
elphaba,1
fiddler,1
Vosk,1
elphie,1
hazbin hotel,1
actresses,1
philippine,1
sfo,1
NorCal,1
dziecica,1
ireland,1
multiple artists,1
singles,1
dancer,1
So Close to What,1
My Recommended Songs,1
bass,1
Ivory Coast,1
soukous,1
africain-francais,1
zouglou,1
ivorian,1
world,1
cote divoire,1
zouk,1
france,1
Sweetener,1
moombahton,1
james bond,1
multiple artists named Jordi,1
bubblegum pop,1
brendon urie,1
country rock,1
noise pop,1
Grunge,1
Czech,1
